Model,train_acc_mean,val_acc_mean,test_acc_mean,f1_mean,kappa_mean,recall_mean,precision_mean,train_acc_std,val_acc_std,test_acc_std,f1_std,kappa_std,recall_std,precision_std
SVM,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Random Forest,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AdaBoost,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KNN,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bagging,100.0,98.98,98.98,98.98,97.96,98.98,98.99,0.0,1.25,0.63,0.63,1.27,0.63,0.63
ANN,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LSTM,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bi-LSTM,100.0,99.83,100.0,100.0,100.0,100.0,100.0,0.0,0.34,0.0,0.0,0.0,0.0,0.0
