seed,n_test,n_pos,test_acc,balanced_acc,precision,recall,specificity,f1,kappa,auroc,tn,fp,fn,tp
42,100,58,0.97,0.9675697865353037,0.9661016949152542,0.9827586206896551,0.9523809523809523,0.9743589743589743,0.9382207578253707,0.9987684729064039,40,2,1,57
7,100,58,0.99,0.9913793103448276,1.0,0.9827586206896551,1.0,0.991304347826087,0.9795417348608838,0.9987684729064039,42,0,1,57
21,100,58,0.98,0.9761904761904762,0.9666666666666667,1.0,0.9523809523809523,0.9830508474576272,0.9586776859504132,1.0,40,2,0,58
99,100,58,0.98,0.9827586206896552,1.0,0.9655172413793104,1.0,0.9824561403508771,0.9592169657422512,0.9991789819376026,42,0,2,56
123,100,58,0.99,0.9880952380952381,0.9830508474576272,1.0,0.9761904761904762,0.9914529914529915,0.9794069192751236,1.0,41,1,0,58
MEAN,100,58,0.982,0.9811986863711002,0.9831638418079096,0.9862068965517242,0.976190476190476,0.9845246602893114,0.9630128127308085,0.999343185550082,41.0,1.0,0.8,57.2
SD,,,0.007483314773547889,0.00853779837199064,0.01503461909919087,0.012902266850944616,0.02129588549999802,0.006383698069970433,0.015426080261461937,0.0005568415421285253,,,,
