test_acc,balanced_acc,precision,recall,specificity,f1,kappa,auroc,tn,fp,fn,tp,seed,matches_original_log
0.99,0.9880952380952381,0.9830508474576272,1.0,0.9761904761904762,0.9914529914529915,0.9794069192751236,0.9995894909688012,41.0,1.0,0.0,58.0,42,True
0.99,0.9913793103448276,1.0,0.9827586206896551,1.0,0.991304347826087,0.9795417348608838,0.9979474548440066,42.0,0.0,1.0,57.0,7,True
0.98,0.9761904761904762,0.9666666666666667,1.0,0.9523809523809523,0.9830508474576272,0.9586776859504132,1.0,40.0,2.0,0.0,58.0,21,True
0.97,0.9741379310344828,1.0,0.9482758620689655,1.0,0.9734513274336283,0.9390243902439024,0.9950738916256159,42.0,0.0,3.0,55.0,99,True
0.99,0.9880952380952381,0.9830508474576272,1.0,0.9761904761904762,0.9914529914529915,0.9794069192751236,1.0,41.0,1.0,0.0,58.0,123,True
0.984,0.9835796387520525,0.9865536723163842,0.9862068965517242,0.980952380952381,0.9861425011246651,0.9672115299210894,0.9985221674876847,,,,,MEAN,
0.008000000000000007,0.007005165519770646,0.01250311972304908,0.020106730671880346,0.01781741612749498,0.007122801253389718,0.016228557132089143,0.0018829794648898828,,,,,SD,
