seed,n_test,n_pos,test_acc,balanced_acc,precision,recall,specificity,f1,kappa,auroc,tn,fp,fn,tp
42,100,58,0.99,0.9880952380952381,0.9830508474576272,1.0,0.9761904761904762,0.9914529914529915,0.9794069192751236,0.9991789819376026,41,1,0,58
7,100,58,0.98,0.9794745484400657,0.9827586206896551,0.9827586206896551,0.9761904761904762,0.9827586206896551,0.9589490968801314,0.9967159277504105,41,1,1,57
21,100,58,0.99,0.9880952380952381,0.9830508474576272,1.0,0.9761904761904762,0.9914529914529915,0.9794069192751236,1.0,41,1,0,58
99,100,58,0.97,0.9741379310344828,1.0,0.9482758620689655,1.0,0.9734513274336283,0.9390243902439024,0.9995894909688012,42,0,3,55
123,100,58,0.99,0.9880952380952381,0.9830508474576272,1.0,0.9761904761904762,0.9914529914529915,0.9794069192751236,1.0,41,1,0,58
MEAN,100,58,0.984,0.9835796387520525,0.9863822326125075,0.9862068965517242,0.9809523809523808,0.9861137844964516,0.9672388489898809,0.9990968801313629,41.2,0.8,0.8,57.2
SD,,,0.008000000000000007,0.005782205865897891,0.0068098242728834545,0.020106730671880346,0.009523809523809535,0.007171001824188484,0.016179996760008558,0.0012287873191375745,,,,
